regime,prompt_length,output_mse,jacobian_u_mse,jacobian_v_mse
isotropic,16,0.010208599654363465,0.020584623093936834,0.013395722082455956
isotropic,32,0.010676419049561785,0.0078846175914858,0.009758567100126049
isotropic,64,0.0025379268892942713,0.005449112565679351,0.0024195109097833933
isotropic,128,0.0014860287968970485,0.002649429221069883,0.002044446393254419
isotropic,256,0.0007115651741903113,0.001067429468887559,0.0008710126809545074
isotropic,512,0.0002889601940236977,0.0006625444544975903,0.0004972257742317032
isotropic,1024,0.00013266988115597365,0.00042675126561598104,0.00015488524559385613
rotated_condition_8,16,0.010455994756040345,0.011500404886863746,0.01272481591963011
rotated_condition_8,32,0.0031561720548232137,0.008404140313223729,0.004513379464760775
rotated_condition_8,64,0.0038641226440824595,0.003495892288590678,0.004335205668987747
rotated_condition_8,128,0.001465890434613191,0.00228957576687935,0.002389496248420899
rotated_condition_8,256,0.0011774357764955117,0.0009233242138480674,0.0010900971074920662
rotated_condition_8,512,0.000475265705325889,0.0006031151785811256,0.0007987734166959316
rotated_condition_8,1024,0.00025285050776807844,0.00026345745334062354,0.00029043022103082184
toeplitz_rho_0.5,16,0.012024578922076902,0.01522155816129943,0.016359270873790535
toeplitz_rho_0.5,32,0.005262672850861519,0.009231395357973796,0.006497819453479124
toeplitz_rho_0.5,64,0.0032781526203973727,0.006923685290749806,0.004207876727873261
toeplitz_rho_0.5,128,0.001582898044650174,0.0026477675452033483,0.0018285662804024712
toeplitz_rho_0.5,256,0.0007371413586412727,0.0010390305059965143,0.0008340239843104381
toeplitz_rho_0.5,512,0.00033701150607937666,0.0005908152715912141,0.0004356305183640151
toeplitz_rho_0.5,1024,0.00027190982287075556,0.00032847315787765265,0.0002549605495492308
