d,shifted,seed,max_abs_error,l2_error
1,False,0,0.0,0.0
1,False,1,0.0,0.0
1,False,2,2.7755575615628914e-17,2.7755575615628914e-17
1,False,3,3.0357660829594124e-17,3.0357660829594124e-17
1,False,4,1.0164395367051604e-18,1.0164395367051604e-18
1,False,5,2.0599841277224584e-18,2.0599841277224584e-18
1,False,6,5.551115123125783e-17,5.551115123125783e-17
1,False,7,5.204170427930421e-18,5.204170427930421e-18
1,True,0,2.6020852139652106e-18,2.6020852139652106e-18
1,True,1,0.0,0.0
1,True,2,5.551115123125783e-17,5.551115123125783e-17
1,True,3,5.551115123125783e-17,5.551115123125783e-17
1,True,4,0.0,0.0
1,True,5,0.0,0.0
1,True,6,3.469446951953614e-18,3.469446951953614e-18
1,True,7,0.0,0.0
2,False,0,2.0599841277224584e-17,2.30800134319421e-17
2,False,1,5.551115123125783e-17,6.206335383118183e-17
2,False,2,1.3877787807814457e-17,1.962615573354719e-17
2,False,3,2.0816681711721685e-17,2.223222581375413e-17
2,False,4,5.551115123125783e-17,5.553189966089031e-17
2,False,5,3.469446951953614e-17,3.6758131435223557e-17
2,False,6,4.85722573273506e-17,6.869154506741516e-17
2,False,7,3.8163916471489756e-17,4.347204570675246e-17
2,True,0,1.3877787807814457e-16,1.7772239894833365e-16
2,True,1,1.6653345369377348e-16,1.6653345369377348e-16
2,True,2,1.1102230246251565e-16,1.2911750880923164e-16
2,True,3,1.1102230246251565e-16,1.1143151226922295e-16
2,True,4,5.551115123125783e-17,6.206335383118183e-17
2,True,5,6.938893903907228e-17,7.244417918960238e-17
2,True,6,2.7755575615628914e-17,2.7755575615628914e-17
2,True,7,3.3306690738754696e-16,4.002966042486721e-16
3,False,0,3.8163916471489756e-17,5.561946577567963e-17
3,False,1,6.245004513516506e-16,6.893141523791413e-16
3,False,2,3.7470027081099033e-16,4.0253861348045997e-16
3,False,3,1.960237527853792e-16,2.106748502322516e-16
3,False,4,1.8041124150158794e-16,2.2117554247121401e-16
3,False,5,1.8041124150158794e-16,2.2633986948989007e-16
3,False,6,7.28583859910259e-17,1.184194975819842e-16
3,False,7,1.27675647831893e-15,1.5798750608595155e-15
3,True,0,1.3877787807814457e-16,1.8619006149354548e-16
3,True,1,3.95516952522712e-16,5.224484868082987e-16
3,True,2,2.220446049250313e-16,3.554447978966673e-16
3,True,3,1.3877787807814457e-16,1.5998063445799775e-16
3,True,4,3.677613769070831e-16,4.533705695286448e-16
3,True,5,1.942890293094024e-16,2.5748813241687586e-16
3,True,6,2.220446049250313e-16,2.68024601344063e-16
3,True,7,1.9081958235744878e-16,2.327634351612027e-16
