regime,checkpoint,exact_risk,exact_gradient_norm,gradient_mse_L16,gradient_mse_L1024
isotropic,0,0.1296,0.72,0.09813768008158237,0.02778440914181896
isotropic,1,0.07485696,0.5472,0.0636271034822748,0.019675450705773437
isotropic,2,0.043237380096000005,0.415872,0.07393781878273976,0.007929756041325014
isotropic,3,0.024973910743449602,0.31606272,0.07913961143065308,0.006336638788264459
isotropic,4,0.014424930845416493,0.24020766720000003,0.07574743633112078,0.0038263369921936186
isotropic,5,0.008331840056312571,0.18255782707200008,0.0910256695567054,0.0025482176471589516
isotropic,6,0.004812470816526141,0.13874394857472006,0.09638590456589102,0.0010896583896672998
isotropic,7,0.002779683143625498,0.10544540091678722,0.10547477896316391,0.0011122022554636106
toeplitz_rho_0.5,0,0.1296,0.8655922827752105,0.17048430574762471,0.04874418199132399
toeplitz_rho_0.5,1,0.07705945125,0.3543822231406719,0.11145188719030603,0.008930481122879133
toeplitz_rho_0.5,2,0.06330624231475196,0.295558954320928,0.15535191172831733,0.006595258194204277
toeplitz_rho_0.5,3,0.05359683053772418,0.2534369570188804,0.22059552679117136,0.006291796019897639
toeplitz_rho_0.5,4,0.046381192469773805,0.2222721318376881,0.12137298376860878,0.003973462661443433
toeplitz_rho_0.5,5,0.04077690856064384,0.19885790316290455,0.16842093298373603,0.0032909293659212344
toeplitz_rho_0.5,6,0.03625434074243164,0.18083879015173887,0.17993752074756056,0.00435199749575315
toeplitz_rho_0.5,7,0.032490046292801104,0.1665429994839158,0.12934611308032776,0.003370741740469083
rotated_condition_8,0,0.1296,0.8297590011563597,0.09615163257919836,0.04008483544392437
rotated_condition_8,1,0.07883001,0.3349236666764533,0.096518661200014,0.004077776419519792
rotated_condition_8,2,0.06660499851224999,0.2759706498236044,0.09499921354039383,0.0046301013013947245
rotated_condition_8,3,0.058186446181283755,0.23393052523592245,0.11670676520454058,0.00384390737787574
rotated_condition_8,4,0.052066376170276873,0.20335312124489205,0.14207887854296167,0.003627470957011886
rotated_condition_8,5,0.04738935603994947,0.1809607314731343,0.09416051139016259,0.004449019203466853
rotated_condition_8,6,0.043648811678357755,0.1642825552518254,0.12587808861048075,0.0030338611214448894
rotated_condition_8,7,0.04054105247047658,0.15152534304827028,0.17800544787068562,0.002435109165825707
